Filename,Predictions
test_images\Ancistrus clementinae (Fredy Nugra).jpg,Hyphessobrycon
test_images\Ancistrus clementinae (Nathan Lujan).jpg,Hyphessobrycon
test_images\Ancistrus clementinae (Windsor Aguirre).jpg,Synbranchus
test_images\Astyanax festae (Fredy Nugra).jpg,Grundulus
test_images\Astyanax ruberrinus (Pedro Jiménez Prado).JPG,Gasteropelecus
test_images\Brycon alburnus (Antonio Torres y Enrique Laaz).JPG,Cichlasoma
test_images\Brycon alburnus (Ronald Navarrete).JPG,Pimelodella
test_images\Brycon alburnus (Windsor Aguirre).jpg,Leporinus
test_images\Brycon atrocaudatus (Fredy Nugra).jpg,Gasteropelecus
test_images\Brycon atrocaudatus (Ronald Navarrte).JPG,Hyphessobrycon
test_images\Brycon atrocaudatus (Windsor Aguirre).jpg,Leporinus
test_images\Brycon dentex (Captura en el río Santiago) (Euardo Rebolledo).JPG,Gasteropelecus
test_images\Brycon dentex (Detalle de la cabeza)(Pedro Jiménez Prado).JPG,Hyphessobrycon
test_images\Brycon dentex (Windsor Aguirre).jpg,Leporinus
test_images\Brycon oligolepis (Jonathan Valdiviezo).JPG,Ichthyoelephas
test_images\Brycon posidae (Fredy Nugra).JPG,Gasteropelecus
test_images\Bryconamericus dahli (Pedro Jiménez Prado).JPG,Pseudophallus
test_images\Bryconamericus dahli 2 (Pedro Jiménez Prado).JPG,Leporinus
test_images\Chaetostoma aequinoctiale (Windsor Aguirre).jpg,Apteronotus
test_images\Chaetostoma fischeri (Fredy Nugra).png,Hyphessobrycon
test_images\Chaetostoma marginatum (Eduardo Rebolledo).JPG,Apteronotus
test_images\Hoplias malabaricus (Windsor Aguirre).jpg,Hyphessobrycon
test_images\Hyphessobrycon (Pedro Jiménez Prado).JPG,Hyphessobrycon
test_images\Ichthyoelephas humeralis (Windsor Aguirre).jpg,Microglanis
test_images\Iotrabrycon praecox (Windsor Aguirre).jpg,Iotabrycon
test_images\Lebiasina aureoguttata (AntonioTorres y Enrique Laaz).jpg,Chaetostoma
test_images\Lebiasina aureoguttata (Pedro Jiménez Prado).JPG,Leporinus
test_images\Leporinus ecuadorensis (río San Pablo.Babahoyo. jun2013)(Ronald Navarrete).JPG,Leporinus
test_images\Leporinus ecuadorensis. (Enrique Laaz).jpg,Leporinus
test_images\Leporinus ecuadoriensis (Windsor Aguirre).jpg,Leporinus
test_images\Pimelodella modestus (Vista dorsal) Pedro Jiménez Prado).JPG,Hyphessobrycon
test_images\Pseudochalceus longianalis (Eduardo Rebolledo).JPG,Hyphessobrycon
test_images\Pseudocurimata boehlkei (Nathan Lujan).jpg,Cichlasoma
test_images\Pseudocurimata boulengeri (Enrique Laaz).jpg,Hyphessobrycon
test_images\Pseudocurimata lineopunctata (Eduardo Rebolledo).JPG,Pseudopoecilia
test_images\Pseudocurimata lineopunctata (Pedro Jiménez Prado).JPG,Hyphessobrycon
test_images\Pseudocurimata peruana (FMNH-97390)(Windsor Aguirre).jpg,Hyphessobrycon
test_images\Pseudocurimata troscheli (Windsor Aguirre).jpg,Leporinus
test_images\Rhoadsia 2 minor (Windsro Aguirre).JPG,Leporinus
test_images\Rhoadsia altipinna (Windsor Aguirre).jpg,Gobioides
test_images\Rhoadsia minor (Windsro Aguirre).jpg,Grundulus
test_images\Roeboides occidentalis (Eduardo Rebolledo).JPG,Pimelodella
test_images\Roeboides occidentalis (Pedro Jimènez Prado).JPG,Pseudophallus
test_images\Saccodon terminalis (Windsor Aguirre).jpg,Ancistrus
test_images\Saccodon wagneri (Fredy Nugra).jpg,Hyphessobrycon
test_images\Saccodon wagneri (Windsor Aguirre).jpg,Hyphessobrycon
test_images\Sacodon wagneri (Ronald Navarrete).JPG,Sicydium
test_images\Trichomycterus banneaui (FMNH-97422) (Windsor Aguirre).jpg,Bryconamericus
test_images\Trichomycterus taenia (Fredy Nugra).JPG,Hyphessobrycon
